,name,locs
0,data/16/135191136.npy,[]
1,data/16/135191137.npy,"[[12  3]
 [12  4]
 [13  4]
 [ 0  5]
 [ 7  5]
 [ 8  5]
 [ 9  5]
 [10  5]
 [13  5]
 [ 0  6]
 [ 1  6]
 [ 5  6]
 [ 6  6]
 [ 7  6]
 [ 8  6]
 [ 9  6]
 [10  6]
 [12  6]
 [13  6]
 [ 0  7]
 [ 1  7]
 [ 2  7]
 [ 5  7]
 [ 6  7]
 [ 7  7]
 [ 8  7]
 [ 9  7]
 [10  7]
 [12  7]
 [13  7]
 [ 0  8]
 [ 1  8]
 [ 2  8]
 [ 3  8]
 [ 4  8]
 [ 5  8]
 [ 6  8]
 [ 7  8]
 [ 8  8]
 [ 9  8]
 [10  8]
 [11  8]
 [12  8]
 [13  8]
 [ 0  9]
 [ 1  9]
 [ 2  9]
 [ 3  9]
 [ 4  9]
 [ 5  9]
 [ 6  9]
 [ 7  9]
 [ 8  9]
 [ 9  9]
 [11  9]
 [12  9]
 [13  9]
 [ 0 10]
 [ 1 10]
 [ 2 10]
 [ 3 10]
 [ 4 10]
 [ 5 10]
 [ 6 10]
 [ 7 10]
 [ 8 10]
 [ 9 10]
 [11 10]
 [12 10]
 [13 10]
 [ 0 11]
 [ 1 11]
 [ 2 11]
 [ 3 11]
 [ 4 11]
 [ 5 11]
 [ 6 11]
 [ 7 11]
 [ 8 11]
 [ 9 11]
 [10 11]
 [11 11]
 [12 11]
 [13 11]
 [ 0 12]
 [ 1 12]
 [ 2 12]
 [ 3 12]
 [ 4 12]
 [ 5 12]
 [ 6 12]
 [ 7 12]
 [ 8 12]
 [ 9 12]
 [10 12]
 [11 12]
 [12 12]
 [13 12]
 [ 0 13]
 [ 1 13]
 [ 2 13]
 [ 3 13]
 [ 4 13]
 [ 5 13]
 [ 6 13]
 [ 7 13]
 [ 8 13]
 [ 9 13]
 [10 13]
 [11 13]
 [12 13]
 [13 13]]"
2,data/16/135191138.npy,"[[12  1]
 [ 4  4]
 [11  5]
 [13  5]
 [10  6]
 [11  6]
 [ 6  7]
 [10  7]
 [11  7]
 [ 6  8]
 [ 5  9]
 [ 6  9]
 [10  9]
 [ 6 10]
 [ 4 11]
 [ 6 12]
 [ 9 12]
 [10 12]
 [11 12]]"
3,data/16/135191139.npy,"[[ 3  0]
 [ 4  0]
 [ 5  0]
 [ 3  1]
 [ 5  1]
 [ 6  1]
 [ 5  2]
 [ 1  3]
 [ 5  3]
 [ 2  4]
 [ 3  4]
 [ 4  4]
 [ 2  5]
 [ 3  5]
 [ 4  5]
 [ 3  6]
 [ 0  7]
 [ 1  7]
 [ 2  7]
 [ 3  7]
 [ 4  7]
 [ 0  8]
 [ 1  8]
 [ 2  8]
 [ 3  8]
 [ 4  8]
 [13  8]
 [ 0  9]
 [ 1  9]
 [ 2  9]
 [13  9]
 [ 0 10]
 [ 1 10]
 [ 5 10]
 [ 6 10]
 [11 11]]"
4,data/16/135191140.npy,[[13  5]]
5,data/16/135191141.npy,"[[ 9  0]
 [ 9  1]
 [ 5  2]
 [ 1  3]
 [ 5  3]
 [ 2  4]
 [ 3  4]
 [ 6  4]
 [ 1  5]
 [ 2  5]
 [ 3  5]
 [ 5  5]
 [10  5]
 [11  5]
 [12  5]
 [ 1  6]
 [10  6]
 [11  6]
 [12  6]
 [ 1  8]
 [11  8]
 [12  8]
 [13  8]]"
6,data/16/135191142.npy,[]
7,data/16/135191144.npy,"[[ 0  0]
 [ 1  0]
 [ 2  0]
 [ 3  0]
 [ 4  0]
 [ 5  0]
 [ 6  0]
 [ 7  0]
 [ 9  0]
 [10  0]
 [11  0]
 [12  0]
 [13  0]
 [ 0  1]
 [ 1  1]
 [ 2  1]
 [ 3  1]
 [ 4  1]
 [ 5  1]
 [ 6  1]
 [ 7  1]
 [ 9  1]
 [10  1]
 [11  1]
 [12  1]
 [13  1]
 [ 0  2]
 [ 1  2]
 [ 2  2]
 [ 3  2]
 [ 4  2]
 [ 5  2]
 [ 6  2]
 [ 9  2]
 [10  2]
 [11  2]
 [12  2]
 [13  2]
 [ 0  3]
 [ 1  3]
 [ 2  3]
 [ 3  3]
 [ 4  3]
 [ 5  3]
 [ 8  3]
 [ 9  3]
 [10  3]
 [11  3]
 [12  3]
 [13  3]
 [ 0  4]
 [ 1  4]
 [ 2  4]
 [ 3  4]
 [ 4  4]
 [ 5  4]
 [ 8  4]
 [ 9  4]
 [10  4]
 [11  4]
 [12  4]
 [13  4]
 [ 0  5]
 [ 1  5]
 [ 2  5]
 [ 3  5]
 [ 4  5]
 [ 5  5]
 [ 7  5]
 [ 8  5]
 [ 9  5]
 [10  5]
 [11  5]
 [12  5]
 [13  5]
 [ 0  6]
 [ 1  6]
 [ 2  6]
 [ 3  6]
 [ 4  6]
 [ 5  6]
 [ 7  6]
 [ 8  6]
 [ 9  6]
 [10  6]
 [11  6]
 [12  6]
 [13  6]
 [ 0  7]
 [ 1  7]
 [ 2  7]
 [ 3  7]
 [ 4  7]
 [ 5  7]
 [ 7  7]
 [ 8  7]
 [ 9  7]
 [10  7]
 [11  7]
 [12  7]
 [13  7]
 [ 0  8]
 [ 1  8]
 [ 2  8]
 [ 3  8]
 [ 4  8]
 [ 5  8]
 [ 7  8]
 [ 8  8]
 [ 9  8]
 [10  8]
 [11  8]
 [12  8]
 [13  8]
 [ 0  9]
 [ 1  9]
 [ 2  9]
 [ 3  9]
 [ 4  9]
 [ 5  9]
 [ 8  9]
 [ 9  9]
 [10  9]
 [11  9]
 [12  9]
 [13  9]
 [ 0 10]
 [ 1 10]
 [ 2 10]
 [ 3 10]
 [ 4 10]
 [ 5 10]
 [ 8 10]
 [ 9 10]
 [10 10]
 [11 10]
 [12 10]
 [13 10]
 [ 0 11]
 [ 1 11]
 [ 2 11]
 [ 3 11]
 [ 4 11]
 [ 5 11]
 [ 6 11]
 [ 9 11]
 [10 11]
 [11 11]
 [12 11]
 [13 11]
 [ 0 12]
 [ 1 12]
 [ 2 12]
 [ 3 12]
 [ 4 12]
 [ 5 12]
 [ 6 12]
 [ 9 12]
 [10 12]
 [11 12]
 [12 12]
 [13 12]
 [ 0 13]
 [ 1 13]
 [ 2 13]
 [ 3 13]
 [ 4 13]
 [ 5 13]
 [ 6 13]
 [ 9 13]
 [10 13]
 [11 13]
 [12 13]
 [13 13]]"
8,data/16/135191145.npy,"[[ 9  0]
 [ 9  1]
 [10  1]
 [ 2  2]
 [ 6  2]
 [ 8  2]
 [ 9  2]
 [10  2]
 [ 7  4]
 [ 0  5]
 [ 7  5]
 [ 0  6]
 [ 0  7]
 [ 1  7]
 [ 5  7]
 [ 0  8]
 [ 1  8]
 [13  8]
 [13  9]
 [ 1 10]
 [ 2 10]
 [ 2 11]
 [ 3 12]
 [ 8 12]
 [ 9 12]
 [10 12]
 [ 8 13]]"
9,data/16/135191146.npy,"[[ 6  0]
 [ 7  0]
 [ 0  1]
 [ 3  1]
 [ 4  1]
 [ 6  1]
 [ 7  1]
 [10  1]
 [11  1]
 [ 0  2]
 [ 5  2]
 [ 6  2]
 [ 7  2]
 [12  2]
 [ 5  3]
 [ 6  3]
 [12  3]
 [13  3]
 [ 0  4]
 [ 1  4]
 [ 2  4]
 [ 6  4]
 [ 9  6]
 [10  6]
 [ 3  7]
 [ 4  7]
 [ 2  8]
 [ 3  8]
 [ 4  8]
 [10  8]
 [11  8]
 [ 1  9]
 [ 3  9]
 [ 4  9]
 [ 7  9]
 [12  9]
 [13  9]
 [ 2 10]
 [ 7 10]
 [ 0 11]
 [ 2 11]
 [ 6 11]
 [ 7 11]
 [ 5 12]
 [ 6 12]
 [ 9 12]
 [ 5 13]
 [ 6 13]]"
